Plate 	Moss	Well	Microbe	Chamber	Week.0	Week.4	Person
Plate 31 	S. fallax	A4	Control 	25C	0.36	0.60	Sara
Plate 31 	S. fallax	B1	Control 	25C	0.45	0.90	Sara
Plate 31 	S. fallax	B2	Control 	25C	0.55	0.84	Sara
Plate 31 	S. fallax	B3	Control 	25C	0.36	0.86	Sara
Plate 31 	S. fallax	B4	Control 	25C	0.17	0.25	Sara
Plate 31 	S. fallax	C1	Control 	25C	0.78	0.89	Sara
Plate 31 	S. fallax	C2	Control 	25C	0.36	0.40	Sara
Plate 31 	S. fallax	C3	Control 	25C	0.46	0.89	Sara
Plate 31 	S. fallax	C4	Control 	25C	0.48	1.39	Sara
Plate 32	S. fallax	A1	SMH	25C	0.25	0.82	Sara
Plate 32	S. fallax	A2	SMH	25C	0.57	0.97	Sara
Plate 32	S. fallax	A3	SMH	25C	0.66	1.12	Sara
Plate 32	S. fallax	A4	SMH	25C	0.70	0.87	Sara
Plate 32	S. fallax	B1	SMH	25C	0.59	1.15	Sara
Plate 32	S. fallax	B2	SMH	25C	0.55	0.90	Sara
Plate 32	S. fallax	B3	SMH	25C	0.74	1.45	Sara
Plate 32	S. fallax	B4	SMH	25C	0.92	1.43	Sara
Plate 32	S. fallax	C1	SMH	25C	0.44	1.16	Sara
Plate 32	S. fallax	C2	SMH	25C	0.29	0.76	Sara
Plate 32	S. fallax	C3	SMH	25C	0.73	0.96	Sara
Plate 32	S. fallax	C4	SMH	25C	1.14	2.13	Sara
Plate 33	S. fallax	A1	SMC	25C	0.25	1.17	Sara
Plate 33	S. fallax	A2	SMC	25C	0.60	1.26	Sara
Plate 33	S. fallax	A3	SMC	25C	0.26	0.46	Sara
Plate 33	S. fallax	A4	SMC	25C	0.44	0.76	Sara
Plate 33	S. fallax	B1	SMC	25C	0.53	0.72	Sara
Plate 33	S. fallax	B2	SMC	25C	0.28	0.28	Sara
Plate 33	S. fallax	B3	SMC	25C	0.77	1.02	Sara
Plate 33	S. fallax	B4	SMC	25C	0.28	0.64	Sara
Plate 33	S. fallax	C1	SMC	25C	0.59	1.60	Sara
Plate 33	S. fallax	C2	SMC	25C	0.24	0.52	Sara
Plate 33	S. fallax	C3	SMC	25C	0.09	0.90	Sara
Plate 33	S. fallax	C4	SMC	25C	1.07	2.29	Sara
Plate 34	S. fallax	A1	STH	25C	0.36	1.26	Sara
Plate 34	S. fallax	A2	STH	25C	0.59	1.39	Sara
Plate 34	S. fallax	A3	STH	25C	0.39	0.65	Sara
Plate 34	S. fallax	A4	STH	25C	0.42	0.74	Sara
Plate 34	S. fallax	B1	STH	25C	0.43	0.49	Sara
Plate 34	S. fallax	B2	STH	25C	0.40	0.68	Sara
Plate 34	S. fallax	B3	STH	25C	0.37	0.68	Sara
Plate 34	S. fallax	B4	STH	25C	0.24	0.52	Sara
Plate 34	S. fallax	C1	STH	25C	0.72	1.27	Sara
Plate 34	S. fallax	C2	STH	25C	0.52	1.09	Sara
Plate 34	S. fallax	C3	STH	25C	0.54	0.61	Sara
Plate 34	S. fallax	C4	STH	25C	0.47	0.53	Sara
Plate 35	S. fallax	A1	STC	25C	1.01	1.82	Sara
Plate 35	S. fallax	A2	STC	25C	0.70	1.25	Sara
Plate 35	S. fallax	A3	STC	25C	0.36	0.38	Sara
Plate 35	S. fallax	A4	STC	25C	0.59	0.91	Sara
Plate 35	S. fallax	B1	STC	25C	1.09	2.04	Sara
Plate 35	S. fallax	B2	STC	25C	1.00	1.86	Sara
Plate 35	S. fallax	B3	STC	25C	0.35	0.38	Sara
Plate 35	S. fallax	B4	STC	25C	0.88	1.37	Sara
Plate 35	S. fallax	C1	STC	25C	0.65	1.04	Sara
Plate 35	S. fallax	C2	STC	25C	0.82	1.23	Sara
Plate 35	S. fallax	C3	STC	25C	1.25	2.65	Sara
Plate 35	S. fallax	C4	STC	25C	0.79	2.54	Sara
Plate 36 	S. fallax	A1	Control 	30C	0.56	1.32	Sara
Plate 36 	S. fallax	A2	Control 	30C	0.45	0.79	Sara
Plate 36 	S. fallax	A3	Control 	30C	0.56	0.75	Sara
Plate 36 	S. fallax	A4	Control 	30C	0.52	0.99	Sara
Plate 36 	S. fallax	B1	Control 	30C	0.78	1.86	Sara
Plate 36 	S. fallax	B2	Control 	30C	0.12	0.32	Sara
Plate 36 	S. fallax	B3	Control 	30C	0.73	0.99	Sara
Plate 36 	S. fallax	B4	Control 	30C	0.27	0.69	Sara
Plate 36 	S. fallax	C1	Control 	30C	0.44	0.78	Sara
Plate 36 	S. fallax	C2	Control 	30C	0.71	0.76	Sara
Plate 36 	S. fallax	C3	Control 	30C	0.55	1.35	Sara
Plate 36 	S. fallax	C4	Control 	30C	0.36	0.97	Sara
Plate 37	S. fallax	A1	SMH	30C	2.06	3.33	Sara
Plate 37	S. fallax	A2	SMH	30C	0.29	0.32	Sara
Plate 37	S. fallax	A3	SMH	30C	0.46	0.72	Sara
Plate 37	S. fallax	A4	SMH	30C	0.55	0.79	Sara
Plate 37	S. fallax	B1	SMH	30C	0.47	0.62	Sara
Plate 37	S. fallax	B2	SMH	30C	0.28	0.29	Sara
Plate 37	S. fallax	B3	SMH	30C	1.08	1.61	Sara
Plate 37	S. fallax	B4	SMH	30C	0.75	2.15	Sara
Plate 37	S. fallax	C1	SMH	30C	0.35	0.66	Sara
Plate 37	S. fallax	C2	SMH	30C	0.84	1.48	Sara
Plate 37	S. fallax	C3	SMH	30C	0.45	0.81	Sara
Plate 37	S. fallax	C4	SMH	30C	0.11	0.49	Sara
Plate 38	S. fallax	A1	SMC	30C	0.47	1.12	Sara
Plate 38	S. fallax	A2	SMC	30C	0.18	0.44	Sara
Plate 38	S. fallax	A3	SMC	30C	0.53	0.94	Sara
Plate 38	S. fallax	A4	SMC	30C	0.67	1.41	Sara
Plate 38	S. fallax	B1	SMC	30C	0.46	1.43	Sara
Plate 38	S. fallax	B2	SMC	30C	0.56	1.24	Sara
Plate 38	S. fallax	B3	SMC	30C	0.76	1.15	Sara
Plate 38	S. fallax	B4	SMC	30C	0.28	0.62	Sara
Plate 38	S. fallax	C1	SMC	30C	0.26	1.25	Sara
Plate 38	S. fallax	C2	SMC	30C	0.37	0.89	Sara
Plate 38	S. fallax	C3	SMC	30C	0.27	0.62	Sara
Plate 38	S. fallax	C4	SMC	30C	0.14	0.68	Sara
Plate 39	S. fallax	A1	STH	30C	0.45	0.49	Sara
Plate 39	S. fallax	A2	STH	30C	0.17	0.55	Sara
Plate 39	S. fallax	A3	STH	30C	0.31	0.55	Sara
Plate 39	S. fallax	A4	STH	30C	0.47	1.74	Sara
Plate 39	S. fallax	B1	STH	30C	0.47	1.22	Sara
Plate 39	S. fallax	B2	STH	30C	0.48	0.71	Sara
Plate 39	S. fallax	B3	STH	30C	0.33	0.33	Sara
Plate 39	S. fallax	B4	STH	30C	0.25	0.68	Sara
Plate 39	S. fallax	C1	STH	30C	0.37	0.70	Sara
Plate 39	S. fallax	C2	STH	30C	0.46	0.65	Sara
Plate 39	S. fallax	C3	STH	30C	0.38	0.47	Sara
Plate 39	S. fallax	C4	STH	30C	0.26	0.79	Sara
Plate 40	S. fallax	A1	STC	30C	0.87	2.42	Sara
Plate 40	S. fallax	A2	STC	30C	0.72	1.27	Sara
Plate 40	S. fallax	A3	STC	30C	0.50	0.32	Sara
Plate 40	S. fallax	A4	STC	30C	0.60	1.19	Sara
Plate 40	S. fallax	B1	STC	30C	0.38	0.43	Sara
Plate 40	S. fallax	B2	STC	30C	0.53	0.71	Sara
Plate 40	S. fallax	B3	STC	30C	0.50	0.67	Sara
Plate 40	S. fallax	B4	STC	30C	0.56	1.18	Sara
Plate 40	S. fallax	C1	STC	30C	0.99	1.50	Sara
Plate 40	S. fallax	C2	STC	30C	0.41	0.79	Sara
Plate 40	S. fallax	C3	STC	30C	0.39	0.46	Sara
Plate 40	S. fallax	C4	STC	30C	0.39	0.59	Sara
