Chamber	Well	Condition	Microbe	Moss	Week.0	Week.1	Week.2	Week.3	Week.4
0C	3	Warm	BAW	Fallax	0.301436154	0.296113275	0.346580793	0.372908854	0.39800894
0C	4	Warm	BAW	Fallax	0.26223155	0.279956677	0.282178206	0.282300228	0.301407586
0C	5	Warm	BAW	Fallax	0.146695717	0.168640839	0.172561386	0.181945837	0.1902341
0C	6	Warm	BAW	Fallax	0.234073778	0.255536576	0.260256712	0.25416482	0.274461628
2.25C	1	Warm	BAW	Fallax	0.268309265	0.262804564	0.28219855	0.298473676	0.3157902
2.25C	2	Warm	BAW	Fallax	0.15930484	0.182408266	0.225225759	0.241817682	0.253134
2.25C	3	Warm	BAW	Fallax	0.18126179	0.202065408	0.184297276	0.197699075	0.2122242
2.25C	4	Warm	BAW	Fallax	0.479754851	0.578049937	0.678588456	0.770974009	0.8723652
2.25C	5	Warm	BAW	Fallax	0.111308799	0.153598403	0.181707278	0.216033771	0.251412
2.25C	6	Warm	BAW	Fallax	0.125366269	0.182682006	0.213363485	0.261728385	0.2966514
4.5C	1	Warm	BAW	Fallax	0.239603953	0.24531552	0.239161372	0.239431261	0.232772096
4.5C	2	Warm	BAW	Fallax	0.365352357	0.36626465	0.356039143	0.351408841	0.338528446
4.5C	3	Warm	BAW	Fallax	0.246595533	0.251566886	0.274033063	0.270579112	0.278268906
4.5C	4	Warm	BAW	Fallax	0.216655286	0.213910416	0.219321806	0.253061725	0.27262214
4.5C	5	Warm	BAW	Fallax	0.271939853	0.242925935	0.288842734	0.296099483	0.32041358
4.5C	6	Warm	BAW	Fallax	0.569844629	0.657818606	0.743950501	0.807886451	0.894090899
9C	1	Warm	BAW	Fallax	0.070608744	0.075953811	0.075993042	0.081688524	0.087363262
9C	2	Warm	BAW	Fallax	0.033966058	0.037824505	0.044926128	0.049970856	0.054326702
9C	3	Warm	BAW	Fallax	0.064110213	0.066102389	0.071102681	0.073184054	0.078858654
9C	4	Warm	BAW	Fallax	0.051439792	0.052208161	0.052298955	0.060036535	0.066614494
9C	5	Warm	BAW	Fallax	0.048098232	0.052932048	0.058040269	0.064613846	0.070270132
9C	6	Warm	BAW	Fallax	0.040035926	0.044941864	0.048168442	0.050748909	0.054194312
0C	1	Ambient	LIA	Fallax	0.165991072	0.486673239	0.787700359	1.084244753	1.39827025
0C	2	Ambient	LIA	Fallax	0.162599079	0.212158151	0.229070693	0.269236752	0.30619589
0C	3	Ambient	LIA	Fallax	0.179567453	0.269898356	0.355681558	0.458962489	0.56333173
0C	4	Ambient	LIA	Fallax	0.232714054	0.301259368	0.425865681	0.511557865	0.60869757
0C	5	Ambient	LIA	Fallax	0.131501373	0.159976846	0.170740339	0.202099083	0.21609952
0C	6	Ambient	LIA	Fallax	0.182262796	0.211506608	0.212408735	0.20150039	0.20005206
2.25C	1	Ambient	LIA	Fallax	0.492503156	0.633038376	0.787455561	0.910614898	1.05048616
2.25C	2	Ambient	LIA	Fallax	0.287985507	0.329617418	0.378902098	0.434865092	0.47056206
2.25C	3	Ambient	LIA	Fallax	0.180298561	0.225454106	0.252734726	0.279546464	0.29881294
2.25C	4	Ambient	LIA	Fallax	0.324682785	0.441713554	0.564150469	0.692271857	0.81802412
2.25C	5	Ambient	LIA	Fallax	0.204209214	0.239274865	0.259744117	0.285561571	0.31296944
2.25C	6	Ambient	LIA	Fallax	0.175772909	0.239268195	0.274694788	0.309326492	0.33978062
4.5C	1	Ambient	LIA	Fallax	0.123095905	0.195657194	0.200354409	0.273832614	0.319487653
4.5C	2	Ambient	LIA	Fallax	0.2945889	0.31313019	0.316550269	0.336101189	0.34707816
4.5C	3	Ambient	LIA	Fallax	0.3999412	0.401572346	0.410896021	0.405792405	0.418497046
4.5C	4	Ambient	LIA	Fallax	0.260058003	0.286204707	0.261630701	0.27938956	0.284135
4.5C	5	Ambient	LIA	Fallax	0.41112341	0.412231619	0.41023161	0.407977212	0.440201189
4.5C	6	Ambient	LIA	Fallax	0.376052136	0.382464904	0.376730549	0.387496052	0.3949412
9C	1	Ambient	LIA	Fallax	0.360707638	0.354302282	0.370265471	0.393048059	0.40244622
9C	2	Ambient	LIA	Fallax	0.300722414	0.279291474	0.284788061	0.294385275	0.28559487
9C	3	Ambient	LIA	Fallax	0.202725072	0.227538899	0.234206683	0.249068037	0.25855434
9C	4	Ambient	LIA	Fallax	0.230390525	0.248284477	0.268260926	0.265624739	0.26496624
9C	5	Ambient	LIA	Fallax	0.246128649	0.247364602	0.296640243	0.301710716	0.32364618
9C	6	Ambient	LIA	Fallax	0.288647239	0.335666966	0.33523813	0.348415313	0.35829255
0C	1	Warm	LIW	Fallax	0.552091993	0.586795538	0.596261209	0.624350351	0.65071622
0C	2	Warm	LIW	Fallax	0.56034746	0.569570685	0.572646462	0.564951807	0.57241114
0C	3	Warm	LIW	Fallax	0.483279655	0.483009175	0.511216202	0.527618479	0.5450697
0C	4	Warm	LIW	Fallax	0.33206012	0.363804946	0.372545955	0.408941076	0.44133306
0C	5	Warm	LIW	Fallax	0.396484516	0.412517679	0.389369176	0.371985521	0.37056698
0C	6	Warm	LIW	Fallax	0.385127443	0.412909925	0.410885988	0.432519833	0.45590846
2.25C	1	Warm	LIW	Fallax	0.068284421	0.175127357	0.334693006	0.477912375	0.6095662
2.25C	2	Warm	LIW	Fallax	0.06429462	0.151714986	0.233065709	0.323379127	0.42104
2.25C	3	Warm	LIW	Fallax	0.114155627	0.159055482	0.219492962	0.261950023	0.31235551
2.25C	4	Warm	LIW	Fallax	0.023405685	0.03531132	0.049031188	0.17893061	0.2933812
2.25C	5	Warm	LIW	Fallax	0.063122901	0.14889623	0.25868722	0.378286731	0.4873101
2.25C	6	Warm	LIW	Fallax	0.023580679	0.036606924	0.04793062	0.077624905	0.3997515
4.5C	1	Warm	LIW	Fallax	0.322178665	0.34876721	0.35186266	0.359855868	0.36758487
4.5C	2	Warm	LIW	Fallax	0.268018601	0.340330034	0.452019965	0.523226518	0.60560078
4.5C	3	Warm	LIW	Fallax	0.391387371	0.477672491	0.564844793	0.661339146	0.75324853
4.5C	4	Warm	LIW	Fallax	0.234963446	0.29180053	0.3478714	0.380293481	0.42718556
4.5C	5	Warm	LIW	Fallax	0.180217091	0.178632137	0.188966494	0.194225811	0.19654559
4.5C	6	Warm	LIW	Fallax	0.196531684	0.227829793	0.264122019	0.312124021	0.34860343
9C	1	Warm	LIW	Fallax	0.028958807	0.03044584	0.034729714	0.035662297	0.041183349
9C	2	Warm	LIW	Fallax	0.046629108	0.047349714	0.050872306	0.05270613	0.053532323
9C	3	Warm	LIW	Fallax	0.070000335	0.077884549	0.084887573	0.085191163	0.089638085
9C	4	Warm	LIW	Fallax	0.075322417	0.079428506	0.080562083	0.0866112	0.091710658
9C	5	Warm	LIW	Fallax	0.039898109	0.080447509	0.046926979	0.141114058	0.112644905
9C	6	Warm	LIW	Fallax	0.039695159	0.041547271	0.044970946	0.051420275	0.057597691
0C	1	Control	None	Fallax	0.142825589	0.175419647	0.226207429	0.275097233	0.31635317
0C	2	Control	None	Fallax	0.215382217	0.242982099	0.229935964	0.234672011	0.2353344
0C	3	Control	None	Fallax	0.324022392	0.37204755	0.360070945	0.381016499	0.39150609
0C	4	Control	None	Fallax	0.186428156	0.186256839	0.191260226	0.217604589	0.22561635
0C	5	Control	None	Fallax	0.237188234	0.278903439	0.29137003	0.322395057	0.34487921
0C	6	Control	None	Fallax	0.236902956	0.292312244	0.319075625	0.358352549	0.39156273
0C	7	Control	None	Fallax	0.024247145	0.03676895	0.049134925	0.10531051	0.18720468
0C	8	Control	None	Fallax	0.335339934	0.292803029	0.28965977	0.282835371	0.27490099
0C	9	Control	None	Fallax	0.262062071	0.297853249	0.350673908	0.407594645	0.45575257
0C	10	Control	None	Fallax	0.171994062	0.169029339	0.178132826	0.185287624	0.19125184
2.25C	1	Control	None	Fallax	0.339486053	0.366519969	0.406049888	0.463523236	0.50436794
2.25C	2	Control	None	Fallax	0.111607943	0.148286462	0.196839953	0.205787121	0.23415528
2.25C	3	Control	None	Fallax	0.196804167	0.213095129	0.233493042	0.280871579	0.30650752
2.25C	4	Control	None	Fallax	0.255306507	0.295599079	0.344841522	0.398580212	0.45429924
2.25C	5	Control	None	Fallax	0.323825706	0.373662762	0.396691764	0.419377929	0.44335537
2.25C	6	Control	None	Fallax	0.279861072	0.360906016	0.451312101	0.543769333	0.64237732
2.25C	7	Control	None	Fallax	0.339925258	0.460729081	0.58293563	0.734957898	0.86388763
2.25C	8	Control	None	Fallax	0.439598427	0.522548798	0.625636691	0.727797195	0.82130834
2.25C	9	Control	None	Fallax	0.506525804	0.541219891	0.599723265	0.668363383	0.72227474
2.25C	10	Control	None	Fallax	0.33835694	0.407577904	0.433072115	0.492991872	0.53166085
4.5C	1	Control	None	Fallax	0.02312917	0.035978122	0.048008342	0.137947086	0.241746736
4.5C	2	Control	None	Fallax	0.02383761	0.035919277	0.048267532	0.064404321	0.116394517
4.5C	3	Control	None	Fallax	0.024316515	0.035459086	0.047467728	0.077799668	0.109416023
4.5C	4	Control	None	Fallax	0.132695322	0.151160827	0.136761244	0.146645035	0.141478111
4.5C	5	Control	None	Fallax	0.018757549	0.022824372	0.044185643	0.049783824	0.063002967
4.5C	6	Control	None	Fallax	0.000555216	0.008420332	0.032785377	0.052062531	0.087637715
4.5C	7	Control	None	Fallax	0.026984117	0.056994746	0.082667422	0.109055484	0.13137732
4.5C	8	Control	None	Fallax	0.0231475	0.035682649	0.048429993	0.105261166	0.140125383
4.5C	9	Control	None	Fallax	0.024622731	0.035219574	0.048755037	0.046297379	0.091986693
4.5C	10	Control	None	Fallax	0.022913532	0.036274614	0.047932961	0.019576433	0.085470048
9C	1	Control	None	Fallax	0.023948627	0.035725143	0.04826114	0.163344966	0.2286568
9C	2	Control	None	Fallax	0.023654848	0.035910624	0.049068542	0.047906929	0.0838032
9C	3	Control	None	Fallax	0.096868936	0.127049427	0.099182049	0.087220611	0.0769556
9C	4	Control	None	Fallax	0.19975675	0.179145912	0.137445563	0.14201682	0.1260108
9C	5	Control	None	Fallax	0.104315347	0.060894982	0.069161424	0.042933995	0.03621
9C	6	Control	None	Fallax	0.043631342	0.064769915	0.061010805	0.056733384	0.057358
9C	7	Control	None	Fallax	0.073620617	0.056944827	0.077086934	0.078916237	0.0918952
9C	8	Control	None	Fallax	0.165540039	0.140461323	0.132606891	0.131224475	0.11662
9C	9	Control	None	Fallax	0.024582768	0.037144638	0.047454727	0.042745543	0.0579972
9C	10	Control	None	Fallax	0.023349748	0.036492828	0.049034295	0.042267461	0.0629884
0C	1	Ambient	SFA	Fallax	0.054100801	0.150617731	0.207106736	0.287843149	0.36724296
0C	2	Ambient	SFA	Fallax	0.056706091	0.16443294	0.237058585	0.323780147	0.41301344
0C	3	Ambient	SFA	Fallax	0.074953185	0.154550233	0.263363677	0.375892472	0.48157704
0C	4	Ambient	SFA	Fallax	0.041277066	0.141107851	0.25227322	0.366685041	0.47136488
0C	5	Ambient	SFA	Fallax	0.03117052	0.165581728	0.233629515	0.339685684	0.43246392
0C	6	Ambient	SFA	Fallax	0.052229578	0.122212744	0.171725378	0.227971859	0.29317848
0C	7	Ambient	SFA	Fallax	0.079592023	0.079859085	0.13065939	0.160019082	0.18716152
0C	8	Ambient	SFA	Fallax	0.077280385	0.367134181	0.656341551	0.944515305	1.2378296
0C	9	Ambient	SFA	Fallax	0.037125961	0.162021869	0.228860371	0.330362309	0.41911968
0C	10	Ambient	SFA	Fallax	0.072308225	0.214334362	0.398132298	0.551070758	0.71377208
2.25C	1	Ambient	SFA	Fallax	0.585488196	0.75091251	0.925547818	1.071440221	1.23895226
2.25C	2	Ambient	SFA	Fallax	0.062598717	0.148325511	0.253319082	0.355599192	0.45431286
2.25C	3	Ambient	SFA	Fallax	0.17854303	0.307314962	0.420839564	0.558966021	0.68027522
2.25C	4	Ambient	SFA	Fallax	0.185497693	0.229440747	0.30274849	0.360211183	0.42348862
2.25C	5	Ambient	SFA	Fallax	0.359826712	0.407230997	0.473191238	0.540770772	0.60092496
2.25C	6	Ambient	SFA	Fallax	0.223539936	0.301982986	0.383241027	0.493739081	0.58987058
2.25C	7	Ambient	SFA	Fallax	0.00046991	0.106731377	0.20397149	0.283550612	0.37097416
2.25C	8	Ambient	SFA	Fallax	0.353525413	0.422051276	0.489677713	0.537480263	0.59228334
2.25C	9	Ambient	SFA	Fallax	0.024822676	0.035703521	0.048031813	0.257826918	0.3748395
2.25C	10	Ambient	SFA	Fallax	0.371297139	0.350040023	0.385015723	0.400189611	0.41661964
4.5C	1	Ambient	SFA	Fallax	0.134894442	0.184812063	0.222259717	0.28273666	0.3241234
4.5C	2	Ambient	SFA	Fallax	0.023775192	0.035587144	0.04768866	0.041270953	0.12344186
4.5C	3	Ambient	SFA	Fallax	0.024200057	0.035342096	0.047476642	0.153267555	0.241809042
4.5C	4	Ambient	SFA	Fallax	0.024739357	0.036857575	0.048299734	0.209555899	0.314209851
4.5C	5	Ambient	SFA	Fallax	0.023524785	0.035931859	0.049254381	0.192100062	0.294810293
4.5C	6	Ambient	SFA	Fallax	0.127399453	0.209261933	0.317890584	0.410707263	0.51299912
4.5C	7	Ambient	SFA	Fallax	0.024789159	0.03617803	0.048353454	0.292234496	0.41092348
4.5C	8	Ambient	SFA	Fallax	0.024778243	0.035596263	0.048924964	0.26878468	0.38812394
4.5C	9	Ambient	SFA	Fallax	0.023628955	0.035167293	0.04843002	0.159032856	0.34190283
4.5C	10	Ambient	SFA	Fallax	0.023623394	0.03608097	0.047369263	0.12416802	0.441234908
9C	1	Ambient	SFA	Fallax	0.127342468	0.225979218	0.252712118	0.302782501	0.3613994
9C	2	Ambient	SFA	Fallax	0.411821494	0.426901105	0.476228216	0.495544158	0.53361565
9C	3	Ambient	SFA	Fallax	0.256396298	0.29955458	0.323598774	0.332666631	0.3564378
9C	4	Ambient	SFA	Fallax	0.313077571	0.365707551	0.416768842	0.471153081	0.5167152
9C	5	Ambient	SFA	Fallax	0.272711506	0.270927688	0.318242748	0.329432036	0.34644815
9C	6	Ambient	SFA	Fallax	0.466769396	0.448504374	0.45349839	0.463358634	0.45932455
9C	7	Ambient	SFA	Fallax	0.483894143	0.503679196	0.527157103	0.535004727	0.5538386
9C	8	Ambient	SFA	Fallax	0.310471604	0.31137781	0.29803607	0.296832514	0.29377545
9C	9	Ambient	SFA	Fallax	0.383999707	0.508378566	0.605745975	0.694220953	0.80083325
9C	10	Ambient	SFA	Fallax	0.408989684	0.375509944	0.404973794	0.392054533	0.40293065
0C	1	Warm	SFW	Fallax	0.310250789	0.385427335	0.454177788	0.54296431	0.62606271
0C	2	Warm	SFW	Fallax	0.372658235	0.338516855	0.357606185	0.366990941	0.36984454
0C	3	Warm	SFW	Fallax	0.176361138	0.213619946	0.284294385	0.330338096	0.38913914
0C	4	Warm	SFW	Fallax	0.23419399	0.293926175	0.350781938	0.403616961	0.45761144
0C	5	Warm	SFW	Fallax	0.219749528	0.272097734	0.308359868	0.367600598	0.41690454
0C	6	Warm	SFW	Fallax	0.144900232	0.21071265	0.312574911	0.37082614	0.44431699
0C	7	Warm	SFW	Fallax	0.201152696	0.201612422	0.229213133	0.255943239	0.27464216
0C	8	Warm	SFW	Fallax	0.183399589	0.331745247	0.468607393	0.596612129	0.727077
0C	9	Warm	SFW	Fallax	0.374769754	0.360164254	0.391087899	0.419378133	0.43961099
0C	10	Warm	SFW	Fallax	0.169053859	0.244866644	0.272599158	0.334243681	0.37570351
2.25C	1	Warm	SFW	Fallax	0.299044587	0.405869113	0.498304914	0.567252383	0.6516048
2.25C	2	Warm	SFW	Fallax	0.186473183	0.231731416	0.263586873	0.325152129	0.3727638
2.25C	3	Warm	SFW	Fallax	0.21766605	0.244793751	0.276541207	0.307243554	0.3344862
2.25C	4	Warm	SFW	Fallax	0.276811659	0.371095875	0.473572028	0.573114438	0.666414
2.25C	5	Warm	SFW	Fallax	0.350969061	0.331085649	0.330452756	0.349891088	0.3620874
2.25C	6	Warm	SFW	Fallax	0.181575518	0.247524558	0.325824974	0.37104853	0.432099
2.25C	7	Warm	SFW	Fallax	0.271131569	0.376800475	0.490658129	0.59899347	0.7072008
2.25C	8	Warm	SFW	Fallax	0.16243871	0.213601436	0.268262578	0.34750638	0.4158138
2.25C	9	Warm	SFW	Fallax	0.190938756	0.417288787	0.638507102	0.862617171	1.0967172
2.25C	10	Warm	SFW	Fallax	0.163576492	0.211980084	0.251008588	0.263471927	0.3002184
4.5C	1	Warm	SFW	Fallax	0.106419221	0.183965217	0.227619945	0.282238757	0.327480208
4.5C	2	Warm	SFW	Fallax	0.303822403	0.318425954	0.35176601	0.36903871	0.389913819
4.5C	3	Warm	SFW	Fallax	0.151742547	0.19909956	0.249874602	0.30158665	0.356193744
4.5C	4	Warm	SFW	Fallax	0.116884633	0.193307139	0.244104525	0.322233896	0.396134148
4.5C	5	Warm	SFW	Fallax	0.149836041	0.21770487	0.318366522	0.380381827	0.456343967
4.5C	6	Warm	SFW	Fallax	0.146178038	0.182690824	0.291995949	0.364623626	0.4450768
4.5C	7	Warm	SFW	Fallax	0.275377492	0.383011533	0.471520371	0.571338802	0.675820618
4.5C	8	Warm	SFW	Fallax	0.241420611	0.345520921	0.445808647	0.575247246	0.687399052
4.5C	9	Warm	SFW	Fallax	0.203471387	0.337363759	0.473915262	0.600636063	0.732838791
4.5C	10	Warm	SFW	Fallax	0.167489429	0.388338154	0.634529781	0.872393862	1.12104604
9C	1	Warm	SFW	Fallax	0.083691997	0.089690183	0.091149658	0.096994634	0.098781398
9C	2	Warm	SFW	Fallax	0.042821645	0.044386176	0.046121512	0.0430333	0.045115631
9C	3	Warm	SFW	Fallax	0.057955912	0.064471687	0.070805737	0.076764721	0.081004413
9C	4	Warm	SFW	Fallax	0.058953974	0.06305174	0.0696311	0.071429443	0.076200834
9C	5	Warm	SFW	Fallax	0.04229382	0.04232194	0.042926843	0.045148358	0.04305258
9C	6	Warm	SFW	Fallax	0.053720344	0.078783593	0.091854368	0.104458619	0.109025487
9C	7	Warm	SFW	Fallax	0.055671571	0.058674079	0.066512359	0.067036307	0.062853081
9C	8	Warm	SFW	Fallax	0.065133614	0.103345264	0.141664264	0.090277959	0.166420653
9C	9	Warm	SFW	Fallax	0.04597116	0.094177578	0.116339882	0.120472679	0.144365531
9C	10	Warm	SFW	Fallax	0.034373355	0.040945207	0.04658558	0.048923509	0.052245809
0C	7	Ambient	BAA	Magellanicum	0.2801912	0.30735188	0.33451256	0.36167324	0.38883392
0C	8	Ambient	BAA	Magellanicum	0.33830664	0.401556333	0.464806025	0.528055718	0.59130541
0C	9	Ambient	BAA	Magellanicum	0.11641552	0.13540134	0.15438716	0.17337298	0.1923588
0C	10	Ambient	BAA	Magellanicum	0.11706176	0.14182302	0.16658428	0.19134554	0.2161068
0C	11	Ambient	BAA	Magellanicum	0.073589471	0.082015401	0.091604834	0.100563068	0.32693598
0C	12	Ambient	BAA	Magellanicum	0.102952438	0.111476386	0.120929586	0.12181931	0.354829237
2.25C	7	Ambient	BAA	Magellanicum	0.206899414	0.299177138	0.344310986	0.394768843	0.4453092
2.25C	8	Ambient	BAA	Magellanicum	0.149226671	0.191823316	0.282292047	0.344708029	0.4130586
2.25C	9	Ambient	BAA	Magellanicum	0.179767482	0.209821705	0.225505966	0.241780819	0.2711904
2.25C	10	Ambient	BAA	Magellanicum	0.288412889	0.303629182	0.319426476	0.318568304	0.3267864
2.25C	11	Ambient	BAA	Magellanicum	0.295185793	0.297172366	0.307031798	0.307572798	0.317166176
2.25C	12	Ambient	BAA	Magellanicum	0.19401875	0.203278584	0.211531984	0.213055384	0.23930959
4.5C	7	Ambient	BAA	Magellanicum	0.298496344	0.306986189	0.314331787	0.333592308	0.336672496
4.5C	8	Ambient	BAA	Magellanicum	0.455735622	0.476687972	0.488786461	0.489316235	0.509248462
4.5C	9	Ambient	BAA	Magellanicum	0.435596763	0.454753543	0.457544099	0.4569696	0.47032896
4.5C	10	Ambient	BAA	Magellanicum	0.016777269	0.032928022	0.036057092	0.065984203	0.073948213
9C	7	Ambient	BAA	Magellanicum	0.088517205	0.089538504	0.090559803	0.091581101	0.0926024
9C	8	Ambient	BAA	Magellanicum	0.078277951	0.080170963	0.082063976	0.083956988	0.08585
9C	9	Ambient	BAA	Magellanicum	0.071527363	0.072384622	0.073241882	0.074099141	0.0749564
9C	11	Ambient	BAA	Magellanicum	0.097858001	0.099480319	0.123886279	0.129493822	0.141910366
9C	12	Ambient	BAA	Magellanicum	0.32593079	0.341362463	0.355220638	0.366086481	0.373542753
9C	10	Ambient	BAA	Magellanicum	0.050422945	0.051265908	0.052108872	0.052951836	0.0537948
0C	7	Warm	BAW	Magellanicum	0.57983945	0.581267654	0.5630485	0.659019632	0.6945932
0C	8	Warm	BAW	Magellanicum	0.405809863	0.427191953	0.425645289	0.407464537	0.40617619
0C	9	Warm	BAW	Magellanicum	0.33794824	0.343892605	0.349258447	0.34361371	0.351398457
0C	10	Warm	BAW	Magellanicum	0.118028771	0.14699177	0.168754123	0.201270414	0.2001908
0C	11	Warm	BAW	Magellanicum	0.249803218	0.275148418	0.318273218	0.348188108	0.391075518
0C	12	Warm	BAW	Magellanicum	0.21948132	0.24489364	0.28614164	0.31956164	0.39075362
2.25C	7	Warm	BAW	Magellanicum	0.549541236	0.558876477	0.568211718	0.577546959	0.5868822
2.25C	8	Warm	BAW	Magellanicum	0.23464945	0.297135938	0.359622425	0.422108913	0.4845954
2.25C	9	Warm	BAW	Magellanicum	0.10374497	0.128097278	0.152449585	0.176801893	0.2011542
2.25C	10	Warm	BAW	Magellanicum	0.15360674	0.206157405	0.25870807	0.311258735	0.3638094
2.25C	11	Warm	BAW	Magellanicum	0.12409523	0.19340753	0.282931543	0.361452477	0.36981001
2.25C	12	Warm	BAW	Magellanicum	0.15934909	0.24277859	0.301813119	0.345832357	0.424787874
4.5C	7	Warm	BAW	Magellanicum	0.348176821	0.368098783	0.376969058	0.391612142	0.398445642
4.5C	8	Warm	BAW	Magellanicum	0.299970478	0.306974729	0.340918636	0.328441194	0.36930931
4.5C	9	Warm	BAW	Magellanicum	0.461304674	0.46982836	0.482211397	0.484278402	0.496802733
4.5C	10	Warm	BAW	Magellanicum	0.423221202	0.441343532	0.450768324	0.454134789	0.461768389
4.5C	11	Warm	BAW	Magellanicum	0.244048449	0.249488472	0.268938281	0.280572542	0.281659463
4.5C	12	Warm	BAW	Magellanicum	0.107020893	0.171156302	0.235437003	0.248402173	0.274287748
9C	7	Warm	BAW	Magellanicum	0.05149712	0.073743787	0.09490425	0.095698134	0.103541264
9C	8	Warm	BAW	Magellanicum	0.072245207	0.073380779	0.075606424	0.078279159	0.08301383
9C	9	Warm	BAW	Magellanicum	0.046975523	0.0483584	0.050597921	0.05778448	0.061441016
9C	10	Warm	BAW	Magellanicum	0.067255314	0.073320567	0.079179349	0.087037288	0.091370212
9C	11	Warm	BAW	Magellanicum	0.287639408	0.292806536	0.296982063	0.304126515	0.310584843
9C	12	Warm	BAW	Magellanicum	0.098561524	0.104274049	0.10363533	0.10477362	0.10469692
0C	7	Ambient	LIA	Magellanicum	0.187347721	0.442130326	0.635174249	0.85524291	1.07122678
0C	8	Ambient	LIA	Magellanicum	0.191681831	0.269160425	0.327268648	0.40610974	0.48867104
0C	9	Ambient	LIA	Magellanicum	0.136876075	0.181945274	0.185442841	0.242082288	0.27358331
0C	10	Ambient	LIA	Magellanicum	0.145838397	0.148784027	0.147230398	0.167923598	0.19228716
0C	11	Ambient	LIA	Magellanicum	0.138617327	0.168877057	0.208210204	0.215873996	0.229276797
0C	12	Ambient	LIA	Magellanicum	0.1632177	0.198219896	0.208481762	0.244724962	0.26369849
4.5C	7	Ambient	LIA	Magellanicum	0.412847751	0.428431558	0.469651341	0.493983946	0.52462608
4.5C	8	Ambient	LIA	Magellanicum	0.456580644	0.455738735	0.491900579	0.493537365	0.50799936
4.5C	9	Ambient	LIA	Magellanicum	0.24580454	0.219802719	0.238604765	0.24273265	0.24321
4.5C	10	Ambient	LIA	Magellanicum	0.267974656	0.264797444	0.25906007	0.26442525	0.27122337
4.5C	11	Ambient	LIA	Magellanicum	0.152220758	0.149210021	0.151220833	0.161423801	0.1519274
4.5C	12	Ambient	LIA	Magellanicum	0.184744744	0.187843809	0.17134908	0.174744865	0.184744874
9C	7	Ambient	LIA	Magellanicum	0.255277674	0.278090554	0.257144348	0.242395788	0.222996554
9C	8	Ambient	LIA	Magellanicum	0.244862006	0.253366363	0.273618879	0.286475062	0.308804832
9C	9	Ambient	LIA	Magellanicum	0.531137869	0.505670389	0.487846677	0.483351709	0.479094908
9C	10	Ambient	LIA	Magellanicum	0.452525637	0.464540451	0.470818128	0.493665439	0.504052649
9C	11	Ambient	LIA	Magellanicum	0.222982754	0.215296475	0.225156018	0.233438561	0.232595566
9C	12	Ambient	LIA	Magellanicum	0.149720356	0.15661045	0.172120568	0.163365605	0.170262757
2.25C	7	Ambient	LIA	Magellanicum	0.492018316	0.538842906	0.57741006	0.631019459	0.67744392
